iter	Passed	Remaining
0	2	243
1	4	214
2	7	227
3	8	207
4	10	202
5	12	198
6	14	195
7	16	192
8	18	189
9	21	190
10	23	187
11	24	177
12	25	169
13	26	161
14	27	155
15	28	151
16	30	146
17	31	141
18	32	137
19	33	133
20	34	129
21	35	126
22	37	124
23	38	120
24	39	117
25	40	114
26	41	112
27	42	109
28	43	106
29	44	104
30	45	102
31	46	99
32	48	97
33	49	95
34	50	94
35	52	92
36	53	90
37	54	88
38	55	86
39	56	84
40	57	82
41	57	79
42	58	78
43	59	76
44	60	74
45	62	72
46	63	71
47	64	69
48	65	68
49	66	66
50	67	65
51	68	63
52	69	62
53	71	60
54	71	58
55	72	57
56	73	55
57	74	54
58	76	52
59	77	51
60	78	49
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	85	40
68	86	38
69	87	37
70	88	35
71	88	34
72	89	33
73	90	31
74	91	30
75	91	29
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	98	18
84	99	17
85	100	16
86	101	15
87	101	13
88	102	12
89	103	11
90	104	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	110	1
99	111	0
